index,light,lat,long,accel_x,ACCELEROMETER Y,ACCELEROMETER Z,LOCATION Accuracy,elapsed,timestamp,geometry
178,0.0,50.386790000000005,-4.146037000000001,1.0434,-6.1305,2.4412,3.0,178015,2019-08-30 20:54:48:874,POINT (-4.146037000000001 50.38679)
179,0.0,50.386803,-4.146032,3.1456,-12.8023,0.2918,3.0,179015,2019-08-30 20:54:49:874,POINT (-4.146032 50.386803)
180,0.0,50.38682,-4.146011,-1.1791,-10.1339,-2.9801,3.0,180016,2019-08-30 20:54:50:875,POINT (-4.146011 50.38682)
181,0.0,50.38682,-4.145992,-1.9665,-8.5295,0.3601,3.0,181016,2019-08-30 20:54:51:875,POINT (-4.145992 50.38682)
182,0.0,50.38682,-4.145992,0.2701,-8.2699,2.5558,3.0,182016,2019-08-30 20:54:52:875,POINT (-4.145992 50.38682)
183,0.0,50.38684,-4.145973000000001,0.6181,-4.034,-1.3482,3.0,183016,2019-08-30 20:54:53:875,POINT (-4.145973000000001 50.38684)
184,0.0,50.386864,-4.145988,0.3661,-5.7702,2.097,3.0,184016,2019-08-30 20:54:54:875,POINT (-4.145988 50.386864)
185,0.0,50.38687,-4.145976999999999,-2.7004,-13.1607,0.1601,3.0,185015,2019-08-30 20:54:55:874,POINT (-4.145976999999999 50.38687)
186,0.0,50.38687,-4.1459589999999995,-1.0686,-10.1058,-1.4366,3.0,186015,2019-08-30 20:54:56:874,POINT (-4.145959 50.38687)
187,0.0,50.38689,-4.145934,0.006999999999999999,-8.552999999999999,-0.3362,3.0,187015,2019-08-30 20:54:57:874,POINT (-4.145934 50.38689)
188,0.0,50.386894,-4.1459220000000006,-4.1128,-9.2525,-2.1954,3.0,188015,2019-08-30 20:54:58:874,POINT (-4.145922000000001 50.386894)
189,0.0,50.3869,-4.145907,0.8877,-2.7434,0.4523,3.0,189015,2019-08-30 20:54:59:874,POINT (-4.145907 50.3869)
190,0.0,50.3869,-4.145907,0.4852,-5.0632,1.0034,3.0,190015,2019-08-30 20:55:00:874,POINT (-4.145907 50.3869)
191,0.0,50.386906,-4.145887999999999,-0.6672,-13.8895,3.0967,3.0,191015,2019-08-30 20:55:01:874,POINT (-4.145887999999999 50.386906)
192,0.0,50.38693,-4.145885,-3.3756,-12.4722,-0.1306,3.0,192018,2019-08-30 20:55:02:877,POINT (-4.145885 50.38693)
193,0.0,50.38693,-4.145871,-1.035,-8.624,-0.4773,3.0,193015,2019-08-30 20:55:03:874,POINT (-4.145871 50.38693)
194,0.0,50.386944,-4.145866000000001,-2.8908,-9.7738,4.2132,3.0,194017,2019-08-30 20:55:04:876,POINT (-4.145866000000001 50.386944)
195,0.0,50.38694,-4.145847,-3.4954,-16.5463,-16.4906,3.0,195016,2019-08-30 20:55:05:875,POINT (-4.145847 50.38694)
196,0.0,50.38694,-4.145847,0.5994,-3.6973,1.4251,3.0,196016,2019-08-30 20:55:06:875,POINT (-4.145847 50.38694)
197,0.0,50.386959999999995,-4.145839,5.0504,-11.7925,2.0854,3.0,197019,2019-08-30 20:55:07:878,POINT (-4.145839 50.38695999999999)
198,0.0,50.386967,-4.145817,-1.5997,-9.9761,-1.6113,3.0,198016,2019-08-30 20:55:08:875,POINT (-4.145817 50.386967)
